序号,单词,翻译,美式音标,英式音标
1,a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上",[e],[ə]
2,aah," [军]Armored Artillery Howitzer,装甲榴弹炮;[军]Advanced Attack Helicopter,先进攻击直升机",[ɑ],[ɑ:]
3,aardvark,n.[动]土豚,[ˈɑrdvɑrk],[ˈɑ:dvɑ:k]
4,aaron,"n.[圣经]亚伦(摩西之兄,犹太教的第一祭司长)",[ˈɛrən],[ˈeərən]
5,aback,adv.向后地,[əˈbæk],[əˈbæk]
6,abacus,n.算盘,[ˈæbəkəs],[ˈæbəkəs]
7,abalone,n.<美>[动]鲍鱼(软体动物),[ˌæbəˈloʊni],[ˌæbəˈləʊnɪ]
8,abandon,"vt.放弃,遗弃;n.放任,狂热",[əˈbændən],[əˈbændən]
9,abandoned,"adj.被抛弃的,自甘堕落的,没有约束的,放荡的",[əˈbændənd],[əˈbændənd]
10,abandonment,n.放弃,[əˈbændənmənt],[əˈbændənmənt]
11,abase,v.降低,[əˈbes],[əˈbeɪs]
12,abash,"vt.使局促不安,使困窘",[əˈbæʃ],[əˈbæʃ]
13,abashed,"adj.不安的,窘迫的",[əˈbæʃt],[əˈbæʃt]
14,abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除",[əˈbet],[əˈbeɪt]
15,abatement,n.消除,[əˈbetmənt],[əˈbeɪtmənt]
16,abbess,"n.女修道院院长,女庵主持",[ˈæbɛs],[ˈæbes]
17,abbey,"n.修道院,修道士(总称)",[ˈæbi],[ˈæbɪ]
18,abbreviate,"v.缩写,缩短,简化,简写成,缩写为",[əˈbriviˌet],[əˈbri:vɪeɪt]
19,abbreviated,"adj.简短的,仅可蔽体的,小型的",[əˈbrivɪetɪd],[əˈbri:vɪeɪtɪd]
20,abbreviation,"n.缩写,缩写词",[əˌbriviˈeʃən],[əbri:vɪˈeɪʃn]
21,abc,"n.字母表,基本知识 美国广播公司 澳大利亚广播公司;automatic brightness control,自动亮度调节",[ˌe biˈsi],[ˌeɪ bi: ˈsi:]
22,abdicate,"v.退位,放弃(职位,权力等)",[ˈæbdɪket],[ˈæbdɪkeɪt]
23,abdication,"n.退位,让位",[ˌæbdɪˈkeʃn],[ˌæbdɪˈkeɪʃn]
24,abdomen,"n.腹,腹部",[ˈæbdəmən],[ˈæbdəmən]
25,abdominal,adj.腹部的,[æbˈdɑmɪnl],[æbˈdɒmɪnəl]
26,abduct,"vt.诱拐,绑架",[æbˈdʌkt],[æbˈdʌkt]
27,abduction,"n.诱拐,诱导",[æbˈdʌkʃn],[æbˈdʌkʃən]
28,abductor,n.诱拐者,[æbˈdʌktɚ],[æbˈdʌktər]
29,abed,"adv.在床上,卧病在床",[əˈbɛd],[əˈbed]
30,aberdeenshire,阿伯丁郡[英国苏格兰原郡名],[ˌæbədinˈʃaɪɚ],[ˌæbədi:nˈʃaɪə(r)]
31,aberrant,adj.异常的,[ˈæbərənt],[æˈberənt]
32,aberration,n.失常,[ˌæbəˈreʃən],[ˌæbəˈreɪʃən]
33,abet,"vt.教唆,煽动,帮助,支持",[əˈbɛt],[əˈbet]
34,abeyance,"n.暂时无效,中止,归属待定",[əˈbeəns],[əˈbeɪəns]
35,abhor,"vt.憎恶,痛恨",[æbˈhɔr],[əbˈhɔ:]
36,abhorrence,"n.痛恨,憎恶",[əbˈhɔrəns],[əbˈhɒrəns]
37,abhorrent,"adj.可恶的,格格不入的",[əbˈhɔrənt],[əbˈhɒrənt]
38,abidance,"n.持续,遵守,居住",[əˈbaɪdns],[əˈbaɪdəns]
39,abide,"vi.坚持,遵守;vt.忍受,容忍",[əˈbaɪd],[əˈbaɪd]
40,abiding,v.容忍;adj.持久的,[əˈbaɪdɪŋ],[əˈbaɪdɪŋ]
41,abigail,n.(贵妇人的贴身)使女,[ˈæbɪɡel],[ˈæbɪɡeɪl]
42,ability,"n.能力,才干",[əˈbɪləti],[əˈbɪlətɪ]
43,abject,"adj.卑鄙的,可怜的",[ˈæbˌdʒɛkt],[ˈæbdʒekt]
44,abjection,"n.卑鄙,抛弃,驱逐,落魄",[æbˈdʒɛkʃən],[æbˈdʒekʃən]
45,abjectly,"adv.悲惨地,卑鄙地",[ˈæbdʒɛktli],[ˈæbdʒektlɪ]
46,abjure,"vt.发誓放弃,避免,公开放弃",[əbˈdʒʊr],[əbˈdʒʊə]
47,ablate,v.融化,[ˈæblet],[æbˈleɪt]
48,ablaze,"adj.adv.着火的,激动的,闪耀的",[əˈblez],[əˈbleɪz]
49,able,"adj.能...的,有才能的,能干的,能够的",[ˈebəl],[ˈeɪbl]
50,ablution,n.清洗,[əˈbluʃən],[əˈblu:ʃən]
51,ably,"adv.能干地,巧妙地",[ˈebli],[ˈeɪblɪ]
52,abnegate,v.放弃,[ˈæbnɪˌɡet],[ˈæbnɪɡeɪt]
53,abnegation,n.放弃,[ˌæbnɪˈɡeʃən],[ˌæbnɪˈɡeɪʃən]
54,abnormal,"adj.反常的,变态的",[æbˈnɔrml],[æbˈnɔ:məl]
